,city,cloudiness,humidity,lat,lon,temp_max,wind_speed
330,Cap Malheureux,40,65,-19.98,57.61,77.0,16.11
331,Alexandria,1,100,31.31,-92.44,75.2,2.62
332,Nanortalik,56,94,60.14,-45.24,36.66,18.05
333,Aksarka,68,80,66.56,67.8,53.85,25.1
334,Hereford,40,72,52.06,-2.72,59.0,8.05
335,Beloha,0,36,-25.17,45.06,85.17,8.99
336,Consuegra,0,39,39.46,-3.61,76.44,4.41
337,Omsukchan,0,45,62.53,155.8,50.7,6.2
338,Pompeu,0,87,-21.05,-48.85,60.8,8.05
339,Zary,36,73,51.64,15.14,72.93,4.18
340,Siniscola,20,61,40.57,9.69,77.0,11.41
341,Shelburne,1,93,44.08,-80.2,60.8,9.22
342,Nurota,0,17,40.56,65.69,89.6,6.93
343,Oistins,40,78,13.07,-59.53,78.8,23.04
344,Takoradi,88,100,4.89,-1.75,79.05,6.42
345,Ust-Nera,92,67,64.57,143.24,51.51,1.95
346,Kaitangata,0,67,-46.28,169.85,35.04,2.39
347,Kotlas,12,47,61.25,46.65,61.77,9.1
348,Bulolo,56,89,-7.2,146.64,66.45,0.6
349,Krutinka,56,46,56.01,71.51,65.1,5.64
350,Jumla,92,100,29.28,82.18,46.47,1.05
351,Destin,90,94,30.39,-86.5,75.2,4.7
352,Gazli,0,22,40.13,63.45,91.92,14.7
353,Henties Bay,12,100,-22.12,14.28,58.44,2.73
354,Mogadishu,75,83,2.04,45.34,82.4,17.22
355,Ciudad Bolivar,12,90,8.12,-63.55,75.72,9.1
356,Iquitos,75,94,-3.75,-73.25,75.2,11.41
357,Chilca,48,80,-13.22,-72.34,35.6,0.94
358,Gornopravdinsk,8,60,60.06,69.92,62.4,5.08
359,Karaton,20,55,-6.34,106.1,91.4,13.87
360,Kinsale,75,76,51.71,-8.52,53.6,12.75
361,Mitchell,20,88,43.71,-98.03,73.4,3.36
362,Malampaka,0,68,-3.14,33.52,78.24,9.66
363,Barcelos,0,93,41.53,-8.62,59.0,4.7
364,Bazarnyye Mataki,0,67,54.9,49.93,63.39,12.24
365,Edgewater,1,100,28.99,-80.9,75.2,3.36
366,Keti Bandar,76,94,24.14,67.45,86.25,20.07
367,Codrington,0,62,-28.95,153.24,53.58,6.08
